"c.0L..1L..2L..3L..4L..5L..6L..7L..8L..9L..10L..11L..12L..13L.." "c.51.0456..52.0305..54.075..56.0468..58.1134..57.0829..61.0952.."
"585" 24 72.1792
"586" 25 75.224
"587" 26 77.0652
"588" 27 81.0921
"589" 28 82.171
"590" 29 85.1395
"591" 0 46.0427
"592" 1 47.3644
"593" 2 50.2045
"594" 3 51.1859
"595" 4 54.1746
"596" 5 56.2819
"597" 6 59.1116
"598" 7 60.0594
"599" 8 62.1856
"600" 9 63.0947
"601" 10 66.0586
"602" 11 69.1545
"603" 12 70.1977
"604" 13 73.1728
"605" 14 74.1506
"606" 15 76.1196
"607" 16 79.2786
"608" 17 83.1618
"609" 18 86.1671
"610" 19 89.2824
"611" 20 93.2902
"612" 21 96.1685
"613" 22 98.2086
"614" 23 104.179
"615" 24 107.276
"616" 25 111.11
"617" 26 114.124
"618" 0 59.1543
"619" 1 61.13
"620" 2 64.2078
"621" 3 66.2255
"622" 4 68.3299
"623" 5 71.2077
"624" 6 71.1264
"625" 7 75.2286
"626" 8 75.2592
"627" 9 78.2736
"628" 10 83.0804
"629" 11 86.2006
"630" 12 88.2242
"631" 13 93.1222
"632" 14 95.1346
"633" 15 98.095
"634" 16 101.141
"635" 17 103.151
"636" 18 107.247
"637" 19 112.272
"638" 20 115.312
"639" 21 121.243
"640" 22 123.363
"641" 23 128.13
"642" 24 134.166
"643" 25 139.251
"644" 26 142.389
"645" 27 149.371
"646" 28 153.144
"647" 0 81.3215
"648" 1 85.266
"649" 2 89.2564
"650" 3 91.467
"651" 4 94.2411
"652" 5 95.2202
"653" 6 99.3419
"654" 7 101.46
"655" 8 105.358
"656" 9 109.353
"657" 10 112.287
"658" 11 116.4
"659" 12 121.426
"660" 13 123.306
"661" 14 128.358
"662" 15 129.259
"663" 16 129.259
"664" 0 140.45
"665" 0 78.1586
"666" 1 81.227
"667" 2 84.1089
"668" 3 89.1466
"669" 4 92.2769
"670" 5 94.256
"671" 6 97.4324
"672" 0 55.1304
"673" 1 56.1279
"674" 2 59.1012
"675" 3 60.099
"676" 4 61.0957
"677" 5 66.1772
"678" 6 67.145
"679" 7 68.12
"680" 8 72.2207
"681" 9 76.1502
"682" 10 77.1296
"683" 11 81.3097
"684" 12 82.1197
"685" 0 44.1225
"686" 1 45.1557
"687" 2 46.2772
"688" 3 48.1429
"689" 4 50.1079
"690" 5 51.1777
"691" 6 54.2755
"692" 7 56.2118
"693" 8 56.1744
"694" 9 58.2197
"695" 10 58.0932
"696" 11 61.1975
"697" 12 63.267
"698" 13 67.2448
"699" 14 69.1773
"700" 15 70.0974
"701" 16 75.1383
"702" 17 77.0742
"703" 18 81.2092
"704" 19 85.2887
"705" 20 86.2
"706" 21 89.378
"707" 0 47.2175
"708" 1 47.3446
"709" 2 49.1778
"710" 3 49.247
"711" 4 53.1302
"712" 5 54.2664
"713" 6 56.112
"714" 7 55.2042
"715" 8 58.2429
"716" 9 61.2387
"717" 10 61.1998
"718" 11 64.2472
"719" 12 65.1971
"720" 13 68.1916
"721" 14 67.1542
"722" 15 70.2081
"723" 16 74.1844
"724" 17 76.0895
"725" 18 79.2552
"726" 19 82.1784
"727" 20 84.2442
"728" 21 87.1688
"729" 22 88.2169
"730" 23 93.1155
"731" 0 49.0996
"732" 1 51.1345
"733" 2 54.1674
"734" 3 55.0216
"735" 4 54.2317
"736" 5 59.1376
"737" 6 60.1172
"738" 7 61.1332
"739" 8 63.1141
"740" 9 66.2333
"741" 10 67.2573
"742" 11 70.1022
"743" 12 71.0942
"744" 13 74.1932
"745" 14 75.0784
"746" 15 78.1896
"747" 16 80.1179
"748" 17 84.1372
"749" 18 86.1096
"750" 19 88.0878
"751" 20 93.0626
"752" 21 94.2166
"753" 22 98.1731
"754" 23 101.19
"755" 24 104.067
"756" 25 109.081
"757" 26 112.108
"758" 27 115.141
"759" 28 118.163
"760" 29 120.19
"761" 30 128.303
"762" 31 129.149
"763" 32 136.279
"764" 33 142.197
"765" 34 148.225
"766" 35 153.188
"767" 36 157.261
"768" 37 162.225
"769" 38 167.266
"770" 39 174.314
"771" 40 181.163
"772" 41 186.21
"773" 42 190.2
"774" 43 196.177
"775" 44 204.11
"776" 45 211.288
"777" 46 217.255
"778" 47 225.181
"779" 48 226.227
"780" 0 46.0391
"781" 1 49.0657
"782" 0 86.152
"783" 1 87.1318
"784" 2 94.0503
"785" 3 97.091
"786" 4 99.0644
"787" 5 102.163
"788" 6 107.144
"789" 7 114.169
"790" 8 114.151
"791" 0 61.0963
"792" 1 62.0784
"793" 2 64.0512
"794" 3 66.0453
"795" 4 67.031
"796" 5 67.031
"797" 6 74.1058
"798" 7 75.2306
"799" 8 79.1051
"800" 9 80.0917
"801" 10 82.1651
"802" 11 87.216
"803" 12 90.203
"804" 13 93.0913
"805" 14 96.1102
"806" 15 101.166
"807" 16 104.205
"808" 17 106.145
"809" 0 54.0542
"810" 1 57.0349
"811" 2 60.0334
"812" 3 61.1079
"813" 4 62.1334
"814" 5 65.0929
"815" 6 67.1216
"816" 7 69.0819
"817" 8 71.0518
"818" 9 73.1261
"819" 10 75.1079
"820" 11 78.1098
"821" 12 83.1114
"822" 13 85.1441
"823" 14 88.1027
"824" 15 90.0515
"825" 0 48.0611
"826" 1 50.0645
"827" 2 52.0934
"828" 3 53.033
"829" 4 53.0178
"830" 5 55.0788
"831" 6 57.0561
"832" 7 60.0545
"833" 8 62.0616
"834" 9 61.034
"835" 10 64.0892
"836" 11 67.0263
"837" 12 67.0368
"838" 13 71.1152
"839" 14 73.0447
"840" 15 76.0511
"841" 16 78.1055
"842" 17 82.0831
"843" 0 43.0237
"844" 1 45.0683
"845" 2 45.0526
"846" 3 47.0517
"847" 4 48.0278
"848" 5 48.0909
"849" 6 51.0316
"850" 7 52.0589
"851" 8 52.0748
"852" 9 54.0759
"853" 10 56.134
"854" 11 57.0409
"855" 12 57.0604
"856" 13 58.0413
"857" 14 59.0429
"858" 15 63.0648
"859" 16 63.022
"860" 17 67.0385
"861" 18 67.0404
"862" 19 68.1679
"863" 20 72.0795
"864" 21 74.1167
"865" 22 77.1397
"866" 23 80.1056
"867" 0 40.0275
"868" 1 41.0604
"869" 2 41.0494
"870" 3 44.051
"871" 4 46.0155
"872" 5 47.0776
"873" 6 48.0317
"874" 7 49.0378
"875" 8 51.0368
"876" 9 52.0898
"877" 10 52.0547
"878" 11 55.0895
"879" 12 58.0368
"880" 13 60.0891
"881" 14 60.0324
"882" 15 61.0311
