49.583,139.77,42
53.916,101.69,24.033
160.66,226.49,18.017
64.133,90.73,14.033
60.53,96.167,18.017
36.164,83.712,34.033
44.241,85.668,24.033
42.776,95.269,30.017
41.259,111.16,44.033
40.87,87.954,34.017
45.561,92.328,28.017
46.065,80.16,22.017
43.217,78.546,28.017
36.621,71.628,28.017
37.562,66.822,26.033
30.589,58.732,26.017
40.617,78.481,24.017
42.526,90.343,28.033
30.32,51.139,22.017
55.772,93.808,20.017
37.906,81.229,28
38.651,70.926,24.017
41.405,92.08,30.033
41.013,79.333,30.017
41.912,84.668,26.017
38.998,72.821,26.033
49.891,116.77,32.033
42.985,93.762,28.033
42.508,91.644,30.05
38.536,92.554,36.033
44.063,99.467,30.033
41.508,84.959,32.033
57.579,85.51,16.033
35.31,74.372,34.05
37.668,88.719,36.017
36.731,86.499,32
42.473,76.642,24.033
38.488,81.026,28
32.841,81.35,38.033
39.472,82.876,28.033
36.26,83.064,30.017
39.626,88.012,34.05
35.598,77.032,30.05
43.048,82.016,24
29.333,73.317,43.783
40.255,124.8,48.067
38.161,78.489,26.033
45.053,89.729,26.033
39.723,76.392,24.017
37.752,87.26,32.017
39.979,81.288,26.017
42.584,117.77,40.033
37.595,80.191,29.983
43.097,75.922,24.033
37.987,77.613,28.05
35.748,81.027,34
41.817,83.678,28.033
55.788,83.797,15.983
38.509,67.049,24
41.697,78.354,24.033
36.534,85.777,34
51.961,107.1,24.017
39.306,69.58,22
48.279,86.215,22
60.766,84.53,34.033
39.794,83.514,30.05
38.974,80.691,28.017
36.941,85.394,36
38.284,73.377,26.017
38.997,83.778,36
41.226,74.548,20
15.731,69.361,26.033
36.159,114.96,44.033
29.616,92.238,48.05
42.721,83.015,28.017
35.46,69.584,24.017
33.904,63.7,24.017
44.741,79.221,22.033
42.242,89.753,32.05
36.123,79.528,30.05
35.58,80.006,34.033
31.58,79.853,38.033
30.37,71.134,34.017
36.381,71.099,29.983
39.306,99.199,38.033
46.06,72.392,16.017
38.218,76.733,30.05
39.986,67.453,20.017
38.411,86.335,34.033
